,logFC,AveExpr,t,P.Value,adj.P.Val,B
si:dkey-183i3.5,1.627875902,9.862318402,41.27469608,9.20E-11,1.64E-06,15.28593601
fn1b,-1.457590762,9.29983955,-38.80180108,1.52E-10,1.64E-06,14.81018497
cry1a,2.368407971,5.356511249,35.62957938,3.03E-10,1.89E-06,13.18120423
zgc:136930,1.310377509,9.604241281,34.2727261,4.16E-10,1.89E-06,13.97535487
per2,3.302039064,5.264099224,34.0513367,4.38E-10,1.89E-06,12.63992042
lonrf1,2.244204244,4.558608595,30.21291204,1.15E-09,4.15E-06,11.76873113
ccr9a,1.015507331,10.04221797,28.77421024,1.71E-09,5.28E-06,12.68622732
hsp90aa1.2,-1.454103374,7.625243561,-27.47065203,2.49E-09,6.72E-06,12.23043933
nr1d1,1.632830078,4.812478387,26.59924362,3.23E-09,7.75E-06,11.37066636
mvp,-1.084034652,8.497961287,-25.1365991,5.10E-09,1.10E-05,11.60383887
col7a1,1.658694118,5.402349555,24.47287273,6.33E-09,1.18E-05,11.0895027
opn1sw1,1.168199857,10.64630638,24.35754226,6.57E-09,1.18E-05,11.37149345
hsp70.3,-3.213462577,5.790705491,-23.96193562,7.50E-09,1.25E-05,10.79636734
si:ch211-183d21.1,-1.734874862,5.574457569,-23.50763564,8.75E-09,1.35E-05,10.7925291
zgc:86896,0.983444147,7.128265963,23.0463207,1.03E-08,1.48E-05,10.89749312
igfbp1a,-1.399512128,5.093796209,-22.61823322,1.19E-08,1.61E-05,10.41501086
zgc:193505,2.89618801,3.643232894,22.34868721,1.31E-08,1.62E-05,9.26625459
kera,2.284889014,3.79650752,22.27276026,1.35E-08,1.62E-05,9.570501685
si:ch211-153b23.5,-1.779211824,5.931548332,-21.32691965,1.91E-08,2.14E-05,10.18661676
krt1-19e,1.390610079,10.86265851,21.2320364,1.98E-08,2.14E-05,10.24368864
desma,-0.797758344,8.559431255,-20.96181472,2.20E-08,2.26E-05,10.16834194
hmox1a,-2.499985417,4.907172098,-20.34989281,2.79E-08,2.64E-05,9.506515156
thbs1a,-1.380617416,6.143017735,-20.2245188,2.93E-08,2.64E-05,9.834452714
socs3a,-2.249751047,3.812761187,-20.21079792,2.95E-08,2.64E-05,8.82996697
hsp70.2,-2.642449563,5.619027292,-20.11328149,3.06E-08,2.64E-05,9.648630411
and3,1.144021548,6.585391264,18.79585236,5.27E-08,4.12E-05,9.298674429
per1b,1.040250052,6.167540414,18.77931796,5.30E-08,4.12E-05,9.283755729
mat2aa,0.804819559,7.936107604,18.61809022,5.68E-08,4.12E-05,9.214280021
sat1a.2,-1.124496487,6.138985443,-18.54106246,5.87E-08,4.12E-05,9.177235704
gngt2b,0.95201896,8.668590305,18.52492304,5.91E-08,4.12E-05,9.160230098
ccng1,1.41159985,5.536439113,18.51903098,5.93E-08,4.12E-05,9.138708116
c3a.1,-1.341393983,8.7659605,-18.44881159,6.11E-08,4.12E-05,9.12651271
fgb,-1.436979707,7.950112583,-18.21972705,6.75E-08,4.42E-05,9.040896009
gnb3b,0.801463666,8.810391023,17.91709265,7.72E-08,4.90E-05,8.882201936
cyt1l,0.873563363,10.43329968,17.69538264,8.52E-08,5.25E-05,8.733784451
lrp1ab,-0.999248672,7.635062545,-17.45694209,9.49E-08,5.69E-05,8.697711467
fthl27,-0.931553263,7.111600932,-17.39101654,9.79E-08,5.71E-05,8.67734502
abca1a,-0.807194391,7.061038795,-17.25464985,1.04E-07,5.92E-05,8.614349641
postnb,0.651415638,9.472913739,16.92401822,1.22E-07,6.72E-05,8.390152461
opn1mw1,0.75270403,9.64385176,16.80025554,1.29E-07,6.94E-05,8.323456282
cp,-0.77677893,5.930144395,-16.75088402,1.32E-07,6.94E-05,8.385527022
gpm6bb,0.682054944,6.64936412,16.57783384,1.43E-07,7.27E-05,8.297251087
fga,-1.536959796,8.351504507,-16.54700795,1.45E-07,7.27E-05,8.241591253
aglb,0.654262764,6.782093405,16.49627699,1.49E-07,7.27E-05,8.254463767
dst,0.822702878,8.625982512,16.42780472,1.54E-07,7.27E-05,8.168649754
gch2,1.835964204,5.173963118,16.38888897,1.57E-07,7.27E-05,8.181931633
hsp70.1,-2.998432366,4.831470476,-16.35721862,1.59E-07,7.27E-05,7.966844473
hspb1,-0.877279793,5.423762823,-16.26114407,1.67E-07,7.27E-05,8.139769265
rcvrn3,0.923017439,6.834144823,16.25057736,1.68E-07,7.27E-05,8.132109228
cd99l2,0.605461304,7.393142766,16.2433428,1.68E-07,7.27E-05,8.112568981
krt91,0.49767945,10.76398345,16.19354,1.73E-07,7.30E-05,7.975480109
mat2ab,1.172170056,4.528275928,16.10771134,1.80E-07,7.47E-05,7.988532821
fgg,-1.724968886,6.418657226,-16.0001099,1.90E-07,7.71E-05,8.024155834
fabp7a,0.739552138,7.77328464,15.96636822,1.93E-07,7.71E-05,7.95971521
pnp5a,1.006810141,6.259849032,15.88962069,2.01E-07,7.82E-05,7.965424807
nat16,0.764767635,5.838400509,15.86538743,2.03E-07,7.82E-05,7.958905042
zgc:114046,-1.98981048,3.157158447,-15.60217824,2.32E-07,8.63E-05,7.022498123
col5a3b,1.482144166,7.787747088,15.60043501,2.32E-07,8.63E-05,7.76960815
bcl6ab,-1.483507869,4.020374616,-15.5369814,2.40E-07,8.63E-05,7.537538044
cdhr2,-1.008625439,4.839638114,-15.53391015,2.40E-07,8.63E-05,7.746606817
clu,-1.726377697,5.851572741,-15.48809292,2.46E-07,8.69E-05,7.769069542
rbp4,0.629577322,9.000505073,15.29191725,2.72E-07,9.34E-05,7.558665118
il6st,-1.288345525,5.395143824,-15.27339705,2.74E-07,9.34E-05,7.653573165
si:ch1073-159d7.13,-3.890593839,0.780300506,-15.25524596,2.77E-07,9.34E-05,3.865537257
h2ax1,1.205470314,4.340942447,15.18772622,2.87E-07,9.52E-05,7.531851703
lum,0.761959378,6.234339025,15.02936188,3.12E-07,0.000101857,7.518569751
fthl28,-1.06664927,5.449831998,-14.89776311,3.34E-07,0.000105554,7.463903541
top2a,0.595272075,6.744256047,14.88072424,3.37E-07,0.000105554,7.418217538
krt4,0.723209816,12.64188271,14.87771262,3.37E-07,0.000105554,7.181161304
gnat2,0.957659997,8.903018317,14.81754226,3.48E-07,0.000107428,7.299050616
slc6a11b,0.775259455,7.274128875,14.6860366,3.74E-07,0.000112501,7.289160615
mybpc1,0.771697659,6.04941712,14.67866881,3.75E-07,0.000112501,7.33500418
c4b,-1.470875687,5.323945466,-14.52966662,4.07E-07,0.000119968,7.265636754
eevs,1.630979886,4.581658033,14.50903162,4.11E-07,0.000119968,7.220410184
sdc4,-0.720746603,6.819705009,-14.4754499,4.19E-07,0.000120041,7.19477272
serpine1,-2.157712709,3.57428628,-14.44221052,4.27E-07,0.000120041,6.785232538
stat3,-1.05469103,6.117520769,-14.43495197,4.28E-07,0.000120041,7.204874793
fut9d,1.163020713,4.937904861,14.35600023,4.47E-07,0.000123734,7.169667351
grk1b,0.935250209,5.572505447,14.24283295,4.76E-07,0.000130024,7.109167755
cbx7a,-3.332226858,4.903177251,-14.18794148,4.91E-07,0.000132118,6.965627913
itln3,-1.755460797,3.377392967,-14.1564514,4.99E-07,0.000132118,6.633657632
LOC100535166,-1.304577405,4.855102503,-14.14681434,5.02E-07,0.000132118,7.042494734
slc4a4a,0.606177965,6.916210011,14.10959565,5.13E-07,0.00013326,6.975127664
tcap,-0.966983,4.787716765,-13.98704341,5.49E-07,0.000141025,6.958261634
grk7a,0.933776053,6.563879213,13.87943605,5.83E-07,0.000146805,6.858754037
sqstm1,-0.867018495,5.748821878,-13.85463184,5.92E-07,0.000146805,6.888374659
hspa8b,-2.145170964,4.100610738,-13.85375786,5.92E-07,0.000146805,6.719078482
hmgcs1,0.809900089,6.5803356,13.82719708,6.01E-07,0.000147341,6.826610669
hnrnpaba,0.460525601,9.279778155,13.77274765,6.20E-07,0.00014867,6.670355222
col4a6,0.712923256,7.952604919,13.73893028,6.32E-07,0.00014867,6.70797615
hspa4a,-0.701518946,7.089778646,-13.71993503,6.39E-07,0.00014867,6.741586587
stab2,-1.041089216,4.388106988,-13.71890318,6.39E-07,0.00014867,6.777043382
tmem176l.2,-1.711882228,4.386188526,-13.71456086,6.41E-07,0.00014867,6.746457363
ctnna1,-0.651272226,7.531164511,-13.49086357,7.29E-07,0.000167347,6.579489095
itgb1b.2,0.934778443,4.686904553,13.39385991,7.71E-07,0.0001741,6.631617701
adamts1,-1.05700367,5.025871796,-13.38695143,7.74E-07,0.0001741,6.630772358
serpinf1,0.630677491,5.89668089,13.22960626,8.50E-07,0.000183207,6.504822765
gnb5b,0.709438339,5.747593312,13.22766943,8.51E-07,0.000183207,6.511843547
anxa2a,-1.183301645,6.835967107,-13.22291926,8.53E-07,0.000183207,6.458630164
opn1mw2,-1.218075352,3.979721151,-13.21805009,8.55E-07,0.000183207,6.436801716
apoeb,-0.888059511,9.266205732,-13.21361328,8.58E-07,0.000183207,6.325337074
a2ml3,-1.06497526,5.485752275,-13.19754416,8.66E-07,0.000183207,6.513371282
spint1a,-0.652578478,6.754575127,-13.17021753,8.80E-07,0.000184396,6.42406636
mdh1ab,0.59306383,6.200041156,13.0911137,9.23E-07,0.000191438,6.401745845
col9a3,0.653324507,9.125372426,13.05462772,9.43E-07,0.0001938,6.227975925
wu:fa03e10,-0.811814207,8.190821925,-13.02991687,9.57E-07,0.000194837,6.259007384
agap3,-0.510809725,7.922372113,-12.93944647,1.01E-06,0.000203084,6.212919453
mcl1a,-0.618500583,6.603405032,-12.93004837,1.02E-06,0.000203084,6.282113138
top1a,0.50022391,7.05600578,12.9021512,1.03E-06,0.000204645,6.231559173
serpinb14,-1.098058895,4.793511373,-12.86153239,1.06E-06,0.000206069,6.319487536
atp1b4,0.549007349,6.527712078,12.85201819,1.07E-06,0.000206069,6.230741913
c3a.2,-0.926010079,5.990114729,-12.84551006,1.07E-06,0.000206069,6.271246844
cyt1,0.636031837,10.6454221,12.83137018,1.08E-06,0.000206069,6.012296797
slc13a4,0.95030818,4.944804836,12.75396627,1.13E-06,0.000214143,6.254492046
LOC100329607,1.34880093,3.186638856,12.66439755,1.20E-06,0.000224282,5.977439662
bcl3,-2.175907421,2.122772392,-12.62440697,1.22E-06,0.000226575,5.102065847
col10a1a,0.534223999,8.181921801,12.61996498,1.23E-06,0.000226575,5.989699731
nr1d2b,0.65779239,7.090748262,12.60243958,1.24E-06,0.000227103,6.03582799
si:ch211-264f5.6,-0.787249777,5.618494283,-12.52575106,1.30E-06,0.000235436,6.089058432
h3f3c,0.476399792,8.638734693,12.517297,1.31E-06,0.000235436,5.899087468
oclna,-0.634156018,6.188030794,-12.50311538,1.32E-06,0.000235562,6.035818121
nccrp1,-1.395504166,5.034460384,-12.46822809,1.35E-06,0.000237284,6.081113917
slco2b1,-0.886670331,5.257823558,-12.45257202,1.36E-06,0.000237284,6.061667415
gcga,-1.432003022,3.636660002,-12.45222914,1.36E-06,0.000237284,5.928291997
pde6c,0.53561328,7.967337527,12.42363625,1.39E-06,0.000239638,5.870055969
tgm2a,0.924394481,4.396861703,12.40022677,1.41E-06,0.000241253,6.036289073
mki67,0.589194202,7.30847177,12.37477954,1.43E-06,0.000242738,5.872898669
zgc:85932,0.837018297,4.879374787,12.35458769,1.45E-06,0.000242738,6.007539067
usp21,1.612583813,2.624613724,12.35306538,1.45E-06,0.000242738,5.563786027
thbs3b,0.651046893,5.39865544,12.33867823,1.46E-06,0.000243066,5.974152828
hmga1b,0.7680313,5.69791419,12.25945269,1.54E-06,0.000253608,5.903791435
h2az2b,0.504741786,8.221884518,12.18717427,1.61E-06,0.00026353,5.696983421
tnnt3a,0.438602038,8.536384711,12.15938544,1.64E-06,0.000266231,5.66194318
slc39a3,-1.254638695,3.767401958,-12.11831236,1.68E-06,0.000271284,5.780147818
myh9b,-0.559973708,8.728826306,-12.08480834,1.72E-06,0.000275129,5.602717745
LOC100535423,-2.460582905,2.946843296,-12.04895268,1.76E-06,0.000275681,5.317247412
dusp27,-0.975284472,5.738622506,-12.03725654,1.77E-06,0.000275681,5.765508131
mfap4.8,-2.75630762,1.878580801,-12.03068926,1.78E-06,0.000275681,4.536588786
LOC137490478,1.096025845,3.863021938,12.02877815,1.78E-06,0.000275681,5.773482742
cst14b.1,-0.752132027,5.061699553,-12.02524567,1.79E-06,0.000275681,5.793905865
pbldp,0.872308402,4.920366987,12.00857101,1.81E-06,0.000276691,5.784106299
ache,0.447553691,7.518349274,11.98569563,1.83E-06,0.000278839,5.596565966
si:ch1073-398f15.1,0.784286445,4.469184143,11.95308485,1.87E-06,0.000282454,5.757576747
srgn,-1.246830558,3.381531447,-11.94384443,1.89E-06,0.000282454,5.591931749
cldne,-0.601767943,7.057281321,-11.93362302,1.90E-06,0.000282454,5.59337989
cebpb,-1.194126523,5.90968394,-11.91670223,1.92E-06,0.000283624,5.676078266
si:ch211-288g17.3,0.471122646,8.456679382,11.90157442,1.94E-06,0.000284484,5.487311533
aanat2,-1.542695864,2.595487661,-11.87304445,1.97E-06,0.000287871,5.207769686
ets2,-1.122302836,5.314450503,-11.81400974,2.05E-06,0.000297205,5.645930768
ptmab,0.389189882,9.548264112,11.7837347,2.09E-06,0.000301153,5.348901859
bhlhe40,0.843206358,6.481774529,11.74284411,2.15E-06,0.00030601,5.495771815
hsp70l,-2.376717112,5.529830826,-11.73933505,2.16E-06,0.00030601,5.606192171
timp2b,-2.956765226,5.113396501,-11.7110303,2.20E-06,0.000309747,5.599678374
wdpcp,0.538504052,6.306562268,11.69723345,2.22E-06,0.000310207,5.476612196
si:dkey-7j14.6,-1.062973105,5.597010473,-11.68916464,2.23E-06,0.000310207,5.541936356
junbb,-1.451836965,5.633259032,-11.64626654,2.29E-06,0.000317117,5.517456973
cast,-0.450918784,8.224669854,-11.62132375,2.33E-06,0.000320369,5.303149133
cyp27b1,1.623894245,2.552362286,11.61035427,2.35E-06,0.000320676,5.15213
h2bc1,-3.463535847,1.985995005,-11.57313149,2.41E-06,0.000326674,4.24422978
ctrb.3,3.255700813,5.475165499,11.54928765,2.45E-06,0.000329852,5.479459438
fkbp9,0.7689115,5.761118957,11.40006785,2.70E-06,0.000362458,5.312933469
LOC101886224,-1.29544697,2.786936564,-11.33995807,2.82E-06,0.000373088,5.051269859
epyc,0.739358046,7.292518765,11.33535808,2.83E-06,0.000373088,5.149137878
mov10a,-0.705057938,4.971773857,-11.3303344,2.84E-06,0.000373088,5.330806682
chd2,0.539919865,6.281232817,11.3196792,2.86E-06,0.000373529,5.210955317
sparc,0.381103772,9.904082413,11.30778967,2.88E-06,0.000374302,4.985739102
pbld2,0.936593234,4.592449697,11.24600951,3.00E-06,0.000386345,5.28560778
si:dkeyp-57d7.4,1.535897958,2.533074741,11.24398988,3.01E-06,0.000386345,4.952740651
myh9a,-0.423190408,8.200767035,-11.22952903,3.04E-06,0.000387889,5.019558601
zgc:162730,-0.559243494,6.535719232,-11.21937327,3.06E-06,0.000388306,5.124957391
igfbp1b,-1.315108355,3.311590811,-11.20047559,3.10E-06,0.000391085,5.13401326
chs1,-0.730894,5.47910319,-11.17789755,3.15E-06,0.000392315,5.187904322
trdn,0.515291596,6.313781788,11.17615205,3.15E-06,0.000392315,5.104117442
postna,0.707941848,6.206095011,11.17067233,3.16E-06,0.000392315,5.109668771
shisa10.1,-0.644313812,6.07886912,-11.12039505,3.27E-06,0.000403867,5.092992838
wu:fc46h12,0.60313293,6.084150388,11.05928881,3.42E-06,0.000418975,5.03843745
ankrd1b,1.026065279,5.380788929,11.00923086,3.54E-06,0.000431409,5.066690883
enam,0.760585807,5.105438162,10.98918078,3.59E-06,0.000435043,5.073041795
hspa4l,0.701733309,5.204053327,10.97927061,3.61E-06,0.000435624,5.057821412
jmy,-0.664258642,5.10967547,-10.96550065,3.65E-06,0.000437405,5.063562014
LOC100329459,1.320128796,3.157501912,10.95104388,3.69E-06,0.000439424,4.990122173
atp1b3b,0.415014554,7.567522911,10.93192624,3.74E-06,0.00044245,4.832594961
c3a.6,-0.912643631,5.096734678,-10.92564137,3.75E-06,0.00044245,5.039582889
col16a1,0.683227028,7.077740464,10.87092592,3.90E-06,0.000455019,4.818547166
apoba,0.81003391,7.534219707,10.86676748,3.91E-06,0.000455019,4.785747027
fbxo2,0.593054291,5.478474765,10.85928908,3.93E-06,0.000455019,4.946144379
lamp1a,-0.713456389,5.96163908,-10.85529107,3.94E-06,0.000455019,4.909503121
colec12,-0.567696376,6.424024982,-10.84216251,3.98E-06,0.000455885,4.855223666
myom1a,0.441405517,8.662359758,10.83757889,3.99E-06,0.000455885,4.697301973
wu:fa56d06,-1.064119298,4.616825043,-10.76022119,4.22E-06,0.00047912,4.950464526
ythdf3,2.758358657,0.518169257,10.74974809,4.25E-06,0.000480186,3.177061892
eprs1,-0.400918734,7.517568754,-10.73201545,4.30E-06,0.000480954,4.686157901
synm,-0.75209644,4.417570564,-10.73121444,4.31E-06,0.000480954,4.934014315
tuba5,-0.372844372,8.93888869,-10.72569457,4.32E-06,0.000480954,4.597227399
stat6,-0.816191744,4.355001698,-10.7040465,4.39E-06,0.000485959,4.916429307
cldnb,-1.055154364,6.551036424,-10.69284458,4.43E-06,0.000487377,4.740275651
chia.1,-1.048330706,5.220180019,-10.68362905,4.46E-06,0.000488119,4.855609066
arr3b,0.725208935,5.9451693,10.66775884,4.51E-06,0.000489715,4.759241692
hnrnpabb,0.390554196,8.265163818,10.66501594,4.52E-06,0.000489715,4.586625001
rx1,0.677262842,4.811471125,10.65211897,4.56E-06,0.000491806,4.849214147
irf6,-0.788177764,4.551484123,-10.64040898,4.60E-06,0.000493501,4.864250067
igfn1.3,0.542536759,7.687339769,10.63121839,4.63E-06,0.00049432,4.595020982
tspan36,-0.69767794,5.518978421,-10.57635881,4.81E-06,0.000511768,4.741401702
opn1lw1,0.89095073,5.433790677,10.56018782,4.87E-06,0.00051526,4.727881188
cd2ap,-0.554618391,5.993636395,-10.53529594,4.96E-06,0.000522093,4.661751593
icam3,-0.816406135,4.722270644,-10.51260887,5.04E-06,0.000528201,4.761879853
irf9,-1.256700539,3.415025129,-10.48950478,5.13E-06,0.000534571,4.704699156
ctsc,-0.55371622,5.475317641,-10.46216084,5.23E-06,0.000540291,4.656312437
col9a1a,0.580083212,8.468241621,10.45225058,5.27E-06,0.000540291,4.408296549
si:ch73-167i17.6,0.620371194,5.792911439,10.44615904,5.29E-06,0.000540291,4.604115465
cry3b,0.762228901,5.016283969,10.44173366,5.31E-06,0.000540291,4.675858838
cdh1,-0.792364468,6.501012031,-10.43489726,5.34E-06,0.000540291,4.540484974
si:dkey-18a10.3,3.543744783,0.913744758,10.4344076,5.34E-06,0.000540291,3.218692864
rrm1,0.563235183,6.626722974,10.42945268,5.36E-06,0.000540291,4.512913626
rbbp8l,-1.374593758,3.452686852,-10.39297121,5.50E-06,0.000552373,4.640847536
crybg1b,-0.658754752,5.396607068,-10.36303678,5.63E-06,0.000562065,4.589844131
cdca3,0.665566527,5.624688713,10.34952755,5.68E-06,0.000565076,4.546337854
capn2b,-0.592065677,5.726050564,-10.33967629,5.72E-06,0.000566589,4.537783466
si:ch211-222l21.1,0.430920425,9.16084974,10.3286631,5.77E-06,0.000567688,4.271101899
slc7a10a,0.592854715,6.008815181,10.32469396,5.79E-06,0.000567688,4.488059481
tnni2a.2,0.629060949,5.04525434,10.31845083,5.81E-06,0.000567735,4.578820054
eef2k,-0.509664092,7.03659796,-10.29921381,5.90E-06,0.000572913,4.383544501
parp4,-0.943328917,5.011478638,-10.2940243,5.92E-06,0.000572913,4.578292031
ddhd1b,1.151493752,2.621959365,10.28357199,5.97E-06,0.000574794,4.435620728
usp28,-0.504305793,5.991639404,-10.26729744,6.04E-06,0.000579078,4.452898369
parp14rs3,-1.151658947,3.572733307,-10.26160307,6.06E-06,0.000579078,4.57353056
sypb,0.437035506,7.306227326,10.24773538,6.13E-06,0.000582505,4.31787689
serpinh1b,0.534350275,6.461191986,10.24083743,6.16E-06,0.000582936,4.37871194
myhb,0.398615998,8.545117227,10.19038876,6.39E-06,0.000601426,4.194277224
zmp:0000000760,0.674778796,7.397436177,10.18729773,6.41E-06,0.000601426,4.263258205
irf1b,-1.642332958,3.111178001,-10.17907768,6.45E-06,0.000601843,4.419741777
sbno2b,-0.901052164,5.20564775,-10.16968419,6.49E-06,0.000601843,4.463710449
lect2.1,-2.039750275,3.663569771,-10.16906077,6.50E-06,0.000601843,4.487721705
pah,0.576716307,5.528390627,10.14350309,6.62E-06,0.00060893,4.394675276
c3a.3,-1.196319812,6.284680278,-10.14086005,6.64E-06,0.00060893,4.338486781
col4a5,0.545035409,9.114683786,10.13122054,6.68E-06,0.00060893,4.113959811
prelid3b,0.498414309,6.414780622,10.1307793,6.69E-06,0.00060893,4.295070121
cebpd,-0.875877703,6.666065844,-10.08738677,6.91E-06,0.000626514,4.251440995
fthl31,-0.897959984,5.344030432,-10.06725364,7.02E-06,0.00063329,4.369618907
lpin1a,1.147140173,5.394173821,10.06206552,7.04E-06,0.00063329,4.348081567
tnfrsf11b,-1.541122996,2.816702219,-10.02648287,7.24E-06,0.000647887,4.251906202
tmem176l.4,-0.80503199,6.114716812,-10.01522235,7.30E-06,0.000649371,4.245303317
zgc:100868,-1.056510615,6.353923139,-10.01257793,7.31E-06,0.000649371,4.224991123
rtn2a,0.476544476,5.881247274,9.996934965,7.40E-06,0.000654409,4.240345613
mfap2,0.627084459,5.427540387,9.99162457,7.43E-06,0.000654409,4.284720376
col9a2,0.522890637,9.366946695,9.979437014,7.50E-06,0.000655165,3.975114763
tmem176l.1,-1.154797676,4.171625336,-9.97942682,7.50E-06,0.000655165,4.390450491
cd34,0.542732011,5.85973814,9.959319599,7.61E-06,0.000662601,4.212278636
cilp,-0.46653536,6.805870723,-9.945144283,7.70E-06,0.000664437,4.116602725
zgc:73226,-1.995276963,2.621544622,-9.939708038,7.73E-06,0.000664437,4.083502229
srsf4,0.398025993,6.994663541,9.93347474,7.77E-06,0.000664437,4.085478699
col28a2b,1.801016043,2.453115831,9.929664308,7.79E-06,0.000664437,4.124521271
ist1,-0.482612627,6.417360024,-9.929564116,7.79E-06,0.000664437,4.13941832
rhcga,1.696518416,5.022284119,9.924124741,7.82E-06,0.000664581,4.28550355
slc1a8b,1.840061997,1.618775584,9.876780335,8.11E-06,0.000682404,3.706169617
abat,-0.850573475,7.566563669,-9.874907967,8.12E-06,0.000682404,4.002830443
nefmb,0.479448757,6.142773069,9.87414904,8.13E-06,0.000682404,4.113526826
slc16a7,1.368918907,2.184575564,9.864254489,8.19E-06,0.000682404,4.010555115
nuak2,-0.799951629,4.118816857,-9.862823748,8.20E-06,0.000682404,4.301095623
crim1,-0.783493829,4.591508932,-9.855855192,8.24E-06,0.000682404,4.270023058
cry5,1.628487677,2.068660474,9.851547569,8.27E-06,0.000682404,3.937635709
cipcb,0.786912772,3.859383196,9.849259345,8.28E-06,0.000682404,4.293323488
si:dkey-5g14.1,1.154755613,3.313396591,9.8394982,8.35E-06,0.000684942,4.265438425
psap,-0.39371984,8.629619061,-9.825670871,8.44E-06,0.000687946,3.89061902
prph2a,0.494569252,6.960701323,9.822392798,8.46E-06,0.000687946,3.99630698
tgfbr2a,-1.772887454,3.227460021,-9.819124708,8.48E-06,0.000687946,4.190554554
cpz,1.158480719,3.546314174,9.806912517,8.56E-06,0.000689277,4.256792342
hsd17b12a,0.616071005,5.045802084,9.80195246,8.59E-06,0.000689277,4.172589615
ptgfrna,-1.070637739,5.418622513,-9.799144272,8.61E-06,0.000689277,4.151681094
mybpc2b,0.384344867,7.362610682,9.797315459,8.62E-06,0.000689277,3.945932881
pdia4,-0.564711945,7.112823307,-9.768418876,8.82E-06,0.000702281,3.945831508
kif11,0.496422002,5.91109483,9.755494482,8.91E-06,0.000704689,4.040212313
rhcgl1,1.369497101,3.711838481,9.751883051,8.93E-06,0.000704689,4.219278793
col14a1b,1.135884031,6.728839067,9.749827838,8.95E-06,0.000704689,3.958668063
tnnc2.1,1.485016942,3.257292861,9.734248343,9.06E-06,0.000710683,4.17834353
cgnl1,-0.534099756,5.744836729,-9.724826081,9.12E-06,0.000712365,4.042652006
slc25a22a,0.682616537,4.143027029,9.721902108,9.14E-06,0.000712365,4.185239947
ccn1,-0.7443047,4.930340779,-9.713282141,9.21E-06,0.000713817,4.125844649
mfsd14ba,0.479193705,6.007442587,9.71005756,9.23E-06,0.000713817,3.992296531
si:ch211-195b13.1,0.664112477,5.009454387,9.704845114,9.27E-06,0.000714165,4.097901004
taf15,0.400735844,7.67825157,9.700046671,9.30E-06,0.000714293,3.842648199
hmgn7,0.393505256,6.86900819,9.68804703,9.39E-06,0.000718091,3.891474639
pcare2,-0.514316717,5.11776907,-9.684174181,9.42E-06,0.000718091,4.078250698
trim44,-0.631404807,4.758467646,-9.638609055,9.76E-06,0.000738839,4.079950993
zgc:101810,-0.525816758,5.809370095,-9.638254352,9.76E-06,0.000738839,3.963687305
tubb6,-0.658092654,4.642731382,-9.634341842,9.79E-06,0.000738839,4.087493701
lgals3bp.1,0.959583677,3.145374936,9.623921494,9.87E-06,0.000742314,4.093188439
elovl4b,0.619948354,5.943496943,9.608874884,9.99E-06,0.00074854,3.915059722
syt5b,0.405589393,6.907075805,9.603987291,1.00E-05,0.000748824,3.817462889
cmah,-0.49303817,5.47375663,-9.596215861,1.01E-05,0.000750822,3.965895853
fmoda,0.505487694,6.628037377,9.579603786,1.02E-05,0.00075557,3.820874062
actn1,-0.380186718,7.245745779,-9.579497015,1.02E-05,0.00075557,3.774209954
hnrnpa1a,0.410784166,7.841198388,9.570059785,1.03E-05,0.00075862,3.721539812
acsbg2,0.414546446,6.732617117,9.560368993,1.04E-05,0.00076078,3.795143262
rbp4l,-0.479760519,6.921499004,-9.557847272,1.04E-05,0.00076078,3.783591533
nme2a,0.886797579,4.170750425,9.54891966,1.05E-05,0.000763581,4.047395823
hmga1a,0.328026784,10.0832671,9.532169151,1.06E-05,0.000769429,3.5570808
si:ch211-153b23.4,-1.633304264,3.498981361,-9.529121273,1.06E-05,0.000769429,4.025019375
adam8a,-0.955701381,2.977350687,-9.526546162,1.07E-05,0.000769429,3.979245134
opn1lw2,0.654861328,9.961150832,9.5148657,1.08E-05,0.000773999,3.548932906
lemd1,0.652010856,4.758311195,9.504372484,1.08E-05,0.00077788,3.960128635
crmp1,0.443785571,6.390713664,9.488978429,1.10E-05,0.00078384,3.766747755
krt8,-0.359489589,9.377296766,-9.484365688,1.10E-05,0.00078384,3.556466137
prss60.2,-1.116437575,2.946864801,-9.482292776,1.10E-05,0.00078384,3.935762692
map2,0.411874473,6.580275921,9.474416026,1.11E-05,0.000786184,3.735831096
igfbp7,0.4523952,6.65989928,9.46336746,1.12E-05,0.000788861,3.718964363
LOC100331639,-0.595348756,6.63554214,-9.461944016,1.12E-05,0.000788861,3.729588359
serpina7,-2.795536062,2.444793984,-9.4403964,1.14E-05,0.000797692,3.594896316
scamp5b,0.606384377,5.397291063,9.439854276,1.14E-05,0.000797692,3.835111655
amotl2b,-0.723223422,5.09907544,-9.435245418,1.15E-05,0.000798052,3.879289984
tuba8l2,-0.385026314,8.100132695,-9.415941221,1.16E-05,0.000805898,3.574209688
ndrg1b,-1.421847307,5.545510655,-9.413785662,1.17E-05,0.000805898,3.829924478
btg1,-0.382803254,7.108867675,-9.408299463,1.17E-05,0.000805898,3.638399592
tfap2c,-0.493047317,6.04218659,-9.406991986,1.17E-05,0.000805898,3.742153761
col7a1l,0.810989992,5.470900401,9.397508825,1.18E-05,0.000807267,3.791767294
chia.2,-1.130355976,7.40184379,-9.396951776,1.18E-05,0.000807267,3.61452897
smox,-0.405955477,6.811491561,-9.392740481,1.19E-05,0.000807443,3.650950272
