,logFC,AveExpr,t,P.Value,adj.P.Val,B
lars2,-0.072966321,4.270786925,-0.776331286,0.459469392,0.645896883,-6.693347661
si:dkey-230p4.1,0.076470886,3.923220321,0.776171462,0.459558639,0.645980263,-6.600902504
calhm6,0.281301893,-0.197821768,0.775956775,0.459678539,0.646106718,-5.471424364
LOC103910002,0.179758539,2.948771519,0.775559741,0.459900333,0.646376366,-6.310800986
gse1a,-0.073018254,3.514216364,-0.775461282,0.459955346,0.646406518,-6.478384168
LOC101885376,0.142914563,1.291314106,0.77539888,0.459990215,0.646406518,-5.818873849
mark4b,0.039797335,6.248675991,0.77536053,0.460011645,0.646406518,-7.117663987
fgf11a,0.131732367,1.208354665,0.774898753,0.460269738,0.646727079,-5.796640009
grip1,0.040770223,6.373787589,0.774509316,0.460487474,0.646853813,-7.137183691
cyfip2,0.052192207,6.017017979,0.774422987,0.46053575,0.646853813,-7.08105026
LOC100333000,-0.145287177,1.279065166,-0.774419404,0.460537754,0.646853813,-5.812514548
wu:fe14d05,-0.307995232,-0.428117574,-0.774416055,0.460539627,0.646853813,-5.421928223
pdzd2,0.095064463,3.979111993,0.774415398,0.460539994,0.646853813,-6.618262575
nup133,0.062273308,5.804176968,0.774374234,0.460563015,0.646853813,-7.044012919
kcnq5a,0.108475575,3.413267427,0.774356218,0.460573091,0.646853813,-6.453708632
npy2rl,-0.121037128,1.925848986,-0.774248426,0.460633377,0.646853813,-5.99688732
wu:fb05h10,-0.160700818,2.245208965,-0.774205732,0.460657257,0.646853813,-6.090178046
mtx1a,-0.073031431,3.322512074,-0.774201426,0.460659666,0.646853813,-6.421349418
zgc:65873,0.059699537,5.494756252,0.77411356,0.460708814,0.646880736,-6.985189646
si:dkeyp-97a10.2,0.187020238,0.380162002,0.773958625,0.460795485,0.646960339,-5.595291758
si:dkey-5i3.5,-0.144047393,1.71822941,-0.773742447,0.460916435,0.647088055,-5.936432269
prpf6,-0.045173398,6.537147081,-0.773516596,0.461042819,0.647223384,-7.1601321
LOC101884821,-0.0492858,5.460569531,-0.773259531,0.461186699,0.647383254,-6.977195315
atp6ap1lb,-0.085483586,3.715473662,-0.773164944,0.461239647,0.647404344,-6.539438104
ccka,0.089866313,2.414792143,0.773125514,0.46126172,0.647404344,-6.147283731
wbp1lb,0.097256068,4.17682225,0.773047791,0.461305233,0.64742331,-6.674284789
bfb,-0.19571072,2.414059803,-0.772817805,0.461434004,0.647425687,-6.141004273
col17a1a,0.039759426,8.999233335,0.772794721,0.46144693,0.647425687,-7.389658228
traf2b,0.072859054,3.615635318,0.77278171,0.461454216,0.647425687,-6.51460958
